station	mean
길음	26734.500000
남태령	1717.125000
노원	24139.083333
당고개	11593.375000
동대문	23738.333333
동대문역사문화공원(DDP)	18417.750000
동작(현충원)	2337.000000
명동	25694.875000
미아(서울사이버대학)	18619.041667
미아사거리	34177.000000
사당	33495.125000
삼각지	6566.208333
상계	24182.083333
서울역	13301.000000
성신여대입구(돈암)	26493.833333
수유(강북구청)	42232.583333
숙대입구(갈월)	17380.625000
신용산	20608.916667
쌍문	35838.958333
이촌(국립중앙박물관)	11671.083333
창동	31924.166667
총신대입구(이수)	23569.416667
충무로	31406.125000
한성대입구(삼선교)	18285.458333
혜화	43699.000000
회현(남대문시장)	30307.208333
