station	mean
길음	26118.791667
남태령	1362.625000
노원	27234.750000
당고개	10420.041667
동대문	24346.875000
동대문역사문화공원(DDP)	16677.375000
동작(현충원)	2584.291667
명동	27049.166667
미아(서울사이버대학)	17747.708333
미아사거리	32849.250000
사당	28947.333333
삼각지	7756.291667
상계	22160.083333
서울역	22948.416667
성신여대입구(돈암)	25231.500000
수유(강북구청)	41938.375000
숙대입구(갈월)	16879.166667
신용산	21924.416667
쌍문	32503.333333
이촌(국립중앙박물관)	12898.500000
창동	33555.083333
총신대입구(이수)	25519.375000
충무로	33162.958333
한성대입구(삼선교)	17813.291667
혜화	44600.166667
회현(남대문시장)	32001.041667
