사용월,호선명,지하철역,04시-05시 하차인원,05시-06시 하차인원,06시-07시 하차인원,07시-08시 하차인원,08시-09시 하차인원,09시-10시 하차인원,10시-11시 하차인원,11시-12시 하차인원,12시-13시 하차인원,13시-14시 하차인원,14시-15시 하차인원,15시-16시 하차인원,16시-17시 하차인원,17시-18시 하차인원,18시-19시 하차인원,19시-20시 하차인원,20시-21시 하차인원,21시-22시 하차인원,22시-23시 하차인원,23시-24시 하차인원,00시-01시 하차인원,01시-02시 하차인원,02시-03시 하차인원,03시-04시 하차인원
202205,1호선,동대문,25,2131,7920,13433,23921,23889,24102,27481,26461,24059,23154,21606,20097,19794,19854,19527,13812,11464,10178,9172,1996,3,1,0
202205,1호선,동묘앞,3,1011,5108,10013,22352,18898,23428,30865,32316,34950,32125,27712,20595,15326,11063,7411,4957,4848,5729,3869,2601,0,0,0
202205,1호선,서울역,18,7775,48494,104898,207219,136237,74339,65168,71662,72686,66196,70070,71667,84463,91092,60567,43753,38968,27618,16808,1450,1,2,0
202205,1호선,시청,1,4924,23336,65998,185243,82507,41741,39031,33528,33157,26393,22631,20870,22841,22071,10163,6193,5888,4237,3276,386,0,0,0
202205,1호선,신설동,16,2751,11880,25473,61525,33321,22472,19655,19127,19095,18250,18342,19983,22677,27070,19886,12752,12717,11384,9622,1763,1,1,0
202205,1호선,제기동,1,2183,9219,20220,41578,35573,39887,45030,47602,49545,44357,38725,31470,28158,27374,18701,12222,11401,10215,6909,934,1,0,0
202205,1호선,종각,1,4268,25179,99671,238641,132019,59355,56190,49762,47551,39924,34669,36450,43626,48915,25061,11614,8318,5879,4069,413,0,0,0
202205,1호선,종로3가,18,3242,14383,26889,72094,68717,60249,66227,65216,61748,55234,45721,42323,39541,41891,21063,10467,7745,5872,4617,1186,0,2,0
202205,1호선,종로5가,0,3894,16958,43286,97652,61782,54484,59569,56034,51827,47265,40243,36522,33427,31357,16579,7877,5505,3962,2750,833,0,0,0
202205,1호선,청량리(서울시립대입구),14,4915,24746,18250,37082,35735,39664,42541,41798,45643,46221,44552,41597,43416,49398,32745,19795,19153,16817,10582,1861,0,0,0
202205,2호선,강남,8,11347,52097,151258,326162,323911,152507,110272,108047,124144,109748,104881,114359,146327,204867,124254,63903,51465,45273,32046,975,1,0,0
202205,2호선,강변(동서울터미널),1,2685,25841,28325,48650,41525,39045,36706,41801,45578,49948,58681,65871,83252,114099,82750,56752,48503,45056,26287,1807,0,0,0
202205,2호선,건대입구,23,2119,19882,26720,65005,54331,46447,52448,59068,65474,64594,68488,83932,117585,167260,117870,70614,62791,55808,37966,5985,0,0,0
202205,2호선,교대(법원.검찰청),1,6967,26442,57983,157375,141332,68109,57023,52414,56087,50667,47505,51439,64726,78881,46285,25753,23662,22931,15716,523,0,0,0
202205,2호선,구로디지털단지,25,5978,22318,87519,252361,143712,54870,43454,45645,55393,54986,64700,79044,104738,162793,133459,84858,83475,79805,57010,2410,0,0,0
202205,2호선,구의(광진구청),1,1319,13376,15506,38854,23496,20126,19787,23029,25676,27370,34503,40029,56095,91365,68002,43948,42635,40766,25774,2215,1,0,0
202205,2호선,낙성대(강감찬),2,2170,10899,21395,40756,36231,30365,25463,28275,30171,30607,36679,43572,59943,98221,87142,55618,54229,55486,35358,3873,0,0,0
202205,2호선,당산,0,3157,13713,30382,77288,35623,20003,19343,21327,24132,24084,27374,34280,46942,77454,53337,33465,32859,30861,24349,1724,0,0,0
202205,2호선,대림(구로구청),55,3759,11455,24076,55225,34587,30024,30886,29868,33016,32123,40194,48451,63010,72384,57054,39249,46994,46429,26030,2032,1,0,0
202205,2호선,도림천,0,371,911,4546,5947,2347,1507,1310,1965,1496,1930,1569,1804,2083,2922,2483,1589,1465,1166,961,95,0,0,0
202205,2호선,동대문역사문화공원(DDP),2,1273,8782,23144,49819,31160,28293,28492,28087,27787,27706,24363,22350,22754,26340,23736,15584,13028,10645,9411,1438,1,0,0
202205,2호선,뚝섬,0,1919,15417,37788,134021,91340,41514,33259,34709,36560,32775,33317,33415,38580,46623,27241,15349,13113,11617,8349,546,1,0,0
202205,2호선,문래,0,2482,14500,36169,122410,58687,27923,23533,24740,25973,24565,25681,29214,37223,57929,41946,21677,20005,17580,12658,1257,1,0,0
202205,2호선,방배,0,2888,11599,28493,75829,57854,32417,28970,29602,29075,26155,26566,26222,33233,40023,28920,17889,17318,17765,11244,309,1,0,0
202205,2호선,봉천,2,1505,7679,12889,27156,20538,19119,19500,22973,25051,26154,35086,41352,52941,84362,72536,44122,43270,41712,27566,1369,0,0,0
202205,2호선,사당,8,4361,33936,48774,69353,54779,48064,54051,55741,53870,52537,62613,82777,117443,172129,119208,70585,67327,67128,48845,5738,0,1,0
202205,2호선,삼성(무역센터),2,5252,40788,132352,333713,236469,103083,75817,67294,73582,63085,53004,52598,58518,62183,34457,18168,15161,12844,8576,6185,0,1,0
202205,2호선,상왕십리,0,700,5970,12692,35028,19071,13108,12523,14936,15804,16978,20331,25181,33973,50658,35324,22524,22630,20773,15535,395,2,0,0
202205,2호선,서울대입구(관악구청),17,2716,16657,33125,73215,69781,61144,48962,54488,59709,59376,67635,77154,108659,177476,148288,88937,83446,85884,56518,19093,0,0,0
202205,2호선,서초,0,4422,20768,49763,114542,93139,40588,31842,23714,26515,23959,20570,22188,24451,25528,17745,10915,10263,10429,6253,135,0,0,0
202205,2호선,선릉,4,6247,40672,112167,285740,217755,101003,61290,57099,63423,53279,48158,45512,53987,59413,36283,21779,19169,17571,12197,805,0,0,0
202205,2호선,성수,2,4250,30303,77335,263000,143211,57893,49983,51620,55890,53261,51392,51836,59900,68084,40791,20670,16133,15337,15229,7436,1,0,0
202205,2호선,시청,0,1629,18209,63810,209880,79180,27988,25759,23549,25620,21269,18787,17031,19952,21007,9590,5744,5434,4525,3979,451,0,1,0
202205,2호선,신답,0,121,545,1020,1630,1075,1086,1273,1446,1700,1846,2571,3615,4464,9188,7270,3412,3854,3215,2700,24,0,0,0
202205,2호선,신당,2,1309,9299,18188,33100,23587,19124,19929,21580,22588,22206,23505,27689,36491,49493,33058,20130,19180,17816,13577,692,0,0,0
202205,2호선,신대방,4,2156,10177,21712,32746,23165,19548,20756,23148,26350,29293,40783,47673,64153,98542,85940,56063,60067,56869,38417,1208,1,0,0
202205,2호선,신도림,58,5359,23237,41633,111909,64669,61768,60935,63924,69043,64203,72637,86298,111929,178291,127622,74583,71190,71958,65597,20424,1,1,0
202205,2호선,신림,37,4794,23725,37816,64939,53966,47869,50057,58008,64509,69665,88088,110787,146582,252704,229265,141584,135631,126933,90247,3940,0,0,0
202205,2호선,신설동,2,316,1893,5188,12306,8934,8162,7525,7198,7274,6446,5825,4967,5519,6380,4853,3192,3026,2855,2316,294,0,0,0
202205,2호선,신정네거리,0,1004,2892,5198,11898,8351,7495,9153,10433,12204,12972,17547,21556,29882,47670,38137,19893,19962,17942,13198,1399,1,0,0
202205,2호선,신촌,6,3330,14840,35581,81403,91299,61324,56373,62072,68785,61466,56472,62135,81991,110844,74115,41587,36828,33400,25884,1100,0,0,0
202205,2호선,아현,0,1019,7727,13498,23164,12774,10842,10613,12655,12869,14516,15191,17573,22840,32018,24390,16463,16213,15456,10825,344,0,0,0
202205,2호선,양천구청,0,966,2500,5278,9998,5017,4619,5268,6605,7902,8478,10771,13606,18214,28451,24740,13821,14042,12154,9784,1145,0,0,0
202205,2호선,역삼,0,7489,37814,138206,349341,302404,121944,65030,55895,61064,50292,45194,43362,50939,60088,36037,21216,17385,14959,10312,284,0,1,0
202205,2호선,영등포구청,0,3371,15755,38423,127098,56335,27087,25092,24777,26491,25018,25395,28902,35560,55215,37549,22417,20221,19003,15668,1570,0,0,0
202205,2호선,왕십리(성동구청),2,1337,6911,13829,27875,19436,15853,16372,18639,19349,20139,21689,27030,37412,58980,37763,23244,21172,20021,17684,738,1,0,0
202205,2호선,용답,0,231,1439,1958,4413,7531,3852,3237,3604,5380,3605,4211,5891,7046,10492,7434,5120,5848,5713,4113,4,0,0,0
202205,2호선,용두(동대문구청),0,157,1092,2533,5683,3647,3040,3451,2985,3727,3948,4237,4241,4567,7674,5863,3101,3058,2299,1848,49,0,1,0
202205,2호선,을지로3가,0,1687,19163,67210,165136,65916,30664,26316,24268,26506,24473,22818,26052,33921,40666,25416,13494,10566,8269,5957,750,0,0,0
202205,2호선,을지로4가,0,1274,14223,35295,77399,37638,22271,21818,20246,19476,18240,16201,14936,15215,14896,8598,5039,4331,3921,3125,353,1,1,0
202205,2호선,을지로입구,2,2826,28121,117500,303446,137934,65245,58525,50232,49312,43913,38339,41942,48932,51427,28684,16043,15065,14277,9806,6333,0,0,0
202205,2호선,이대,0,1084,8047,13162,36876,35012,26710,21307,24208,27507,23166,21949,24702,29172,41125,29580,19161,19281,20153,16753,585,1,0,0
202205,2호선,잠실(송파구청),7,5543,35850,77384,188736,167482,110580,110938,108545,109923,107318,116376,132125,173320,228451,151250,101068,93039,87650,54992,4601,0,0,0
202205,2호선,잠실나루,0,1922,10305,23726,39182,24339,18713,17052,19810,21976,19663,19445,21217,27881,39735,28884,18255,18151,17837,11284,774,1,0,0
