사용월,호선명,지하철역,04시-05시 승차인원,05시-06시 승차인원,06시-07시 승차인원,07시-08시 승차인원,08시-09시 승차인원,09시-10시 승차인원,10시-11시 승차인원,11시-12시 승차인원,12시-13시 승차인원,13시-14시 승차인원,14시-15시 승차인원,15시-16시 승차인원,16시-17시 승차인원,17시-18시 승차인원,18시-19시 승차인원,19시-20시 승차인원,20시-21시 승차인원,21시-22시 승차인원,22시-23시 승차인원,23시-24시 승차인원,00시-01시 승차인원,01시-02시 승차인원,02시-03시 승차인원,03시-04시 승차인원
202205,1호선,동대문,906,11875,9472,15023,20022,18001,17519,19172,23793,25455,26674,27122,27561,26627,24760,17786,14775,13951,12543,4664,51,1,0,0
202205,1호선,동묘앞,173,2992,3536,6256,10183,9030,10750,16089,23203,30802,33363,35717,35998,33275,24648,11670,6330,5183,3837,1420,13,0,0,0
202205,1호선,서울역,627,9072,12965,41213,68672,56782,56781,68263,75970,77464,64402,86525,98054,146647,201982,101685,73608,80107,54579,21185,113,1,2,0
202205,1호선,시청,114,1976,3238,6934,8724,9530,11353,17756,20194,25988,32948,43949,49597,79065,147065,53733,46493,46188,30281,9449,56,0,0,0
202205,1호선,신설동,381,8741,8833,19066,27826,18781,16666,18617,20677,23029,22131,24543,31653,40436,55589,21974,14858,13677,9896,3657,63,1,0,0
202205,1호선,제기동,360,5197,9067,22640,32152,23800,27620,34709,39190,40844,43675,48035,46841,44826,40979,20255,12840,8983,5749,2097,22,0,0,0
202205,1호선,종각,91,3922,3832,6045,10054,12218,17047,25434,32145,41536,50674,64519,73258,129565,196833,84160,75100,84726,68029,28375,184,0,0,0
202205,1호선,종로3가,169,4131,3932,4978,8606,13659,20312,31676,42919,49885,58629,68393,73948,82985,99783,61575,50550,53060,45718,18514,155,0,1,0
202205,1호선,종로5가,54,1989,2913,5149,8302,12454,20370,30516,39669,48051,56183,60174,63986,79129,96688,51006,35666,35291,22005,6745,53,0,0,0
202205,1호선,청량리(서울시립대입구),1055,11641,15965,37415,48213,32632,32381,36480,42222,42487,42537,47369,57308,53146,44620,25753,20057,15306,10005,3751,82,0,0,0
202205,2호선,강남,258,12741,20618,40609,66644,54139,52959,70424,86549,101771,112424,137521,161281,243269,332425,210689,165782,193551,193341,84370,113,1,0,0
202205,2호선,강변(동서울터미널),23,8412,28404,79688,116837,84895,66134,57384,54858,52931,48404,50358,53961,62550,68944,51876,40500,32301,22911,8481,18,0,0,0
202205,2호선,건대입구,564,19475,23951,54729,93971,63895,39622,38495,46077,50182,52256,58433,68495,80821,93750,73630,74241,84129,91474,48210,97,0,0,0
202205,2호선,교대(법원.검찰청),31,2630,12687,27364,37256,30919,29633,34574,37767,45620,52955,57362,63192,96409,141962,67555,54255,60421,51816,18933,39,0,0,0
202205,2호선,구로디지털단지,246,40300,54742,134892,185427,113552,66697,60209,64762,64155,58486,61902,76028,128824,226981,107730,65367,55543,45664,17039,40,0,0,0
202205,2호선,구의(광진구청),47,14151,27807,69099,114705,66704,36630,30681,31621,31150,27893,27864,33232,36282,44075,23137,18597,17167,15730,7204,47,1,0,0
202205,2호선,낙성대(강감찬),33,11696,27465,80792,127985,80893,44428,38439,42161,41487,37144,36744,43126,48864,51868,30357,23869,22719,18076,7876,14,0,0,0
202205,2호선,당산,27,6960,17483,46724,58404,36602,25488,24919,25396,25156,23043,24257,29489,43438,62140,28379,22625,22402,19951,8241,20,0,0,0
202205,2호선,대림(구로구청),640,35666,33676,68787,96899,64203,37971,32107,33957,33005,30489,31889,36242,44186,52406,27687,20657,15647,11842,5026,9,1,0,0
202205,2호선,도림천,0,291,1246,3382,3549,2048,1749,1723,2296,1637,2056,2446,3811,2928,3604,1866,919,827,508,183,0,0,0,0
202205,2호선,동대문역사문화공원(DDP),252,5263,4049,6422,10852,10089,10970,14872,17923,19720,24234,29762,36870,42114,44966,26891,20745,21380,17289,6813,14,0,0,0
202205,2호선,뚝섬,18,3625,8640,18596,25698,18077,14781,16445,19610,23727,27399,34456,45613,70342,127762,64793,44361,40986,30277,10397,24,0,0,0
202205,2호선,문래,9,3937,13729,43547,49611,27867,20656,20750,24709,26106,25157,28169,36615,57843,103125,36762,25811,27045,22200,9990,16,1,0,0
202205,2호선,방배,1,2636,9616,23820,34095,26658,20107,21055,24193,26437,28369,33560,39709,49171,73185,32875,24495,24888,21290,7258,9,0,0,0
202205,2호선,봉천,51,15921,29228,81302,123526,74033,41345,33788,35013,34323,29737,28738,31722,30710,33241,20139,15942,13881,10970,3717,5,0,0,0
202205,2호선,사당,106,12935,27455,75496,107384,77854,48746,45200,51980,54207,57170,59474,64449,75815,95213,65839,62727,68741,68805,33237,120,0,0,0
202205,2호선,삼성(무역센터),176,4473,7586,14798,20937,20969,22830,34747,45098,58006,69605,87863,109750,198079,293921,150356,108538,95522,67199,18442,25,0,0,0
202205,2호선,상왕십리,74,5621,13857,40831,64915,35160,22352,19727,21817,20285,18475,19407,21374,26399,27629,18840,13237,11259,8056,2662,17,1,0,0
202205,2호선,서울대입구(관악구청),3970,29156,45461,128918,183240,121958,69854,62797,70540,70643,65813,70802,78092,90603,96179,59649,50329,51734,47615,19761,8,0,0,0
202205,2호선,서초,9,1535,8241,17101,26675,28198,21546,28047,25457,33754,33517,39341,46818,69158,97105,43225,29322,30445,20346,6489,2,0,0,0
202205,2호선,선릉,116,4916,11222,21535,33793,30811,34541,44618,53766,62318,71023,90588,116788,180932,291155,141855,90139,89335,80075,27552,23,0,0,0
202205,2호선,성수,59,5833,9740,23905,32331,23823,21638,23211,28333,34474,40435,47979,63330,114300,230757,106374,70646,68337,52114,18922,20,0,0,0
202205,2호선,시청,69,1164,2022,4995,7654,9184,12544,19766,20033,25193,30511,36690,42883,84850,164202,51900,39043,38835,26460,9030,16,0,0,0
202205,2호선,신답,4,1114,2168,6615,10708,4913,2606,2237,2308,2153,1928,1793,1993,2252,2357,1254,716,608,492,163,0,0,0,0
202205,2호선,신당,23,6436,11754,28241,45759,27310,19264,19333,22583,22149,21835,23060,27755,30667,33385,22854,17629,16497,13886,5789,13,0,0,0
202205,2호선,신대방,121,26212,38243,92288,137901,83452,48292,38575,38529,36955,31457,31000,34233,38338,42007,24594,18684,14264,11324,4726,10,1,0,0
202205,2호선,신도림,3925,34686,52542,136625,142680,89971,61631,59394,67683,68922,67887,72240,82543,99048,124204,71349,61903,64929,50597,21002,89,0,1,0
202205,2호선,신림,325,42488,81788,212028,323248,192773,104190,87632,91782,86647,77096,76438,84188,91892,95132,61514,52140,47487,43373,19360,47,0,0,0
202205,2호선,신설동,38,1242,1511,4347,7900,4942,4374,5403,6861,7749,8203,9032,9454,10804,13108,4810,3083,2504,2140,739,7,0,0,0
202205,2호선,신정네거리,34,8780,18456,50868,47809,25921,18445,16252,16508,14480,12903,12025,13126,13284,12683,7998,5839,4567,3826,1225,10,0,0,0
202205,2호선,신촌,82,8615,15428,36074,53290,36850,36089,42245,53555,55330,57199,66088,79089,94433,94652,64495,67369,72345,76708,33080,38,0,0,0
202205,2호선,아현,50,4842,11506,29182,39368,23830,16380,15732,17002,15916,14780,16622,24238,21782,21327,12761,9193,7509,5818,2074,1,0,0,0
202205,2호선,양천구청,19,5010,11572,33594,31036,17893,12339,10948,11388,9981,8178,8030,8806,9527,9557,4271,3033,2475,2109,556,4,0,0,0
202205,2호선,역삼,26,3951,8697,14938,26027,23051,24204,31902,39104,47539,56309,71885,92732,193030,274236,146224,84059,82272,63480,21854,12,0,0,0
202205,2호선,영등포구청,53,5780,12796,39090,47051,29122,23018,24592,26913,27267,28726,31733,36056,52612,104051,35724,27197,25492,19768,7925,21,0,0,0
202205,2호선,왕십리(성동구청),1013,8622,11432,27249,47436,30273,21001,21096,23688,24367,25193,27609,33381,39133,39669,26651,25338,29007,33135,18178,22,1,0,0
202205,2호선,용답,3,2655,3451,8119,13031,7564,4788,4359,5330,4996,4403,4884,7141,6809,4761,2876,2164,1520,1427,563,0,0,0,0
